Merchant Name,Category Name,% Rate,Flat Rate
Armasight,Hunting & Shooting,6.0,0.0
Armitron,Watches,15.0,0.0
Army Navy Outdoors,Outdoor Recreation,1.0,0.0
Aroma Retail,Supplies,7.0,0.0
AromaTech,Fragrance & Cologne,23.0,0.0
Arrow Films,Movies,5.0,0.0
Art Bloom,Home Decor,5.0,0.0
Art Carved,Jewelry,10.0,0.0
Art N' Glow,Hobbies & Creative Arts,10.0,0.0
Art.com,Arts & Entertainment,10.0,0.0
Art2Ficial (US),,0.0,5.0
ArtGallery Zen,Jewelry,30.0,0.0
ArtPhotoLimited,Photography,3.0,0.0
Artemest,Household,5.0,0.0
Arterra Pet Science,Dog Supplies,10.0,0.0
Artexplore,Home Decor,5.0,0.0
Artika,Home Decor,5.0,0.0
Artisul,Electronics Accessories,5.0,0.1
Artizan Joyeria,Jewelry,3.0,0.0
Artra Laboratory,Camera & Optics,10.0,0.0
Ascent Outdoors,Sporting Goods,4.0,0.0
AshaPops,Food & Gourmet,5.0,0.0
Ashampoo,Software,30.0,0.0
Asmar Equestrian,Clothing & Apparel,12.0,0.0
Asobu,Kitchen & Dining,10.0,0.0
Aspen Dental,Professional Services,0.0,10.0
Aspen Green,CBD,30.0,0.0
Assist Diabetics,Health Care,0.0,10.0
Assouline,Books & Magazines,2.0,0.0
Astek,Household,10.0,0.0
Astor & Orion,Jewelry,10.0,0.0
Astor Chocolate,Food & Gourmet,8.0,0.0
Astro Flipping,Online Courses,10.0,0.0
AstroAI,Tools,13.0,0.0
Atacz,Handbags & Wallets,15.0,0.0
Athar'a Pure,Health & Beauty,15.0,0.0
Athena Club,Box Subscriptions,4.0,0.0
Athletic Propulsion Labs,Shoes,10.0,0.0
Athlon Rub,Health & Beauty,25.0,0.0
Ativa Fit,Exercise & Fitness,3.0,0.0
Atlanta Cutlery Corp.,Consumer Services,6.0,0.0
Atlantis Resorts,Travel,6.0,0.0
Atlas Fly Fishing,Fishing,10.0,0.0
Atlas Grey,Baby & Kids,6.0,0.0
Atlas One Fund,Financial,0.0,250.0
Atom Tickets,Movies,0.0,0.1
Atomi Smart,Household,2.0,0.0
Atoms,Shoes,6.0,0.0
Atomstack,Consumer Electronics,7.0,0.0
Attaché,Shopping,15.0,0.0
Attitude Living,Health & Beauty,4.0,0.0
Attn: Grace,Personal Care,6.0,0.0
AttractionTickets.com,Amusement & Theme Parks,1.5,0.0
Atunus,Furniture,13.0,0.0
Auctmarts,Vehicles & Parts,10.0,0.0
Audeze,Audio,7.0,0.0
Audials Windows Software,Software,40.0,0.0
Audiobooks.com,Books & Magazines,0.0,4.5
Aura Essentials,Vitamins & Supplements,20.0,0.0
AuraGlow,Health & Beauty,20.0,0.0
Auratherapy,Health & Beauty,5.0,0.0
Aurora,Toys,5.0,0.0
Aurora Training Advantage,Online Courses,25.0,0.0
Ausomstore,Vehicles & Parts,3.0,0.0
Austin Organic Village,CBD,10.0,0.0
Australian Native T-Shirts,Clothing & Apparel,7.0,0.0
Autel,Motor Vehicle Electronics,8.0,0.0
Autelpilot,Consumer Electronics,5.5,0.0
Authentic Kratom,Vitamins & Supplements,10.0,0.0
Autio,Travel,30.0,0.0
Auto Europe Car Rentals,Car Rental,5.0,0.0
AutoPartsToys,Vehicles & Parts,5.0,0.0
Ava Finance Affiliate,Financial,0.0,16.0
AvaCare Medical,Health Care,5.0,0.0
Avalon Waterways,Travel,6.0,0.0
Avani Hotels & Resorts,Travel,3.0,0.0
Avara,Personal Care,15.0,0.0
Avast,Software,30.0,0.0
Avenco,Bed & Bath,10.0,0.0
Avene,Beauty & Cosmetics,1.0,0.0
Avenlur,Building Toys,4.0,0.0
Avenova,Health & Beauty,6.0,0.0
Aventon Bikes,Cycling,6.0,0.0
Avianca,Air,2.0,0.0
Avid,Computers & Accessories,18.4,0.0
AvidMax,Fishing,4.8,0.0
Avira,Software,30.0,0.0
Aviya Mattress,Household,10.0,0.0
Avon,Beauty & Cosmetics,7.7,20.0
Avoya Travel,Cruises,2.0,0.0
Aware House,Appliances,15.0,0.0
Awe Inspired,Jewelry,2.0,0.0
AwesomeSeating,Event Tickets,7.0,0.0
Awoo Pets,Animals & Pet Supplies,3.0,0.0
Axolt Brain,Vitamins & Supplements,18.0,0.0
Axos Bank,Financial,0.0,150.0
Ayla & Co,Handbags & Wallets,10.0,0.0
Ayoa,B2B,50.0,0.0
Azaria,Handbags & Wallets,3.0,0.0
Azova Inc.,Health Care,20.0,0.0
Azra Mehdi Jewelry,Clothing & Apparel,10.0,0.0
Azul Ixtapa Hotels,Hotel,6.0,0.0
Azuna,Household,16.0,0.0
Azz Hotels,Travel,4.0,0.0
B'alam,Home Decor,15.0,0.0
B-Low The Belt,Belts,10.0,0.0
B-vibe,Sex Toys,10.0,0.0
B12,B2B,30.0,0.0
