Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Sesame Care,Health Care,16,0.0,125.0
Grown Alchemist,Health & Beauty,16,15.0,0.0
Tantaly,Sex Toys,16,10.0,0.0
PassFab,Software,16,50.0,0.0
42Lolita,Clothing & Apparel,16,5.0,0.0
Champs Sports,Athletics,15,4.0,0.0
Zen Hotels GB,Hotel,15,8.0,0.0
ASICS,Shoes,15,6.0,0.0
Bloomingdale's,Department Stores,15,4.61,0.0
Kids2Shop,Babies & Kids,15,8.0,0.0
Park Sleep Fly,Travel,15,20.0,6.0
ReVive Skincare,Health & Beauty,15,20.0,0.0
LOFT,Clothing & Apparel,15,3.0,0.0
Yogi Surprise,Health & Beauty,15,0.0,16.0
Zlike Hair,Hair Accessories,15,10.0,0.0
Chico's,Clothing & Apparel,15,2.0,0.0
Overstock,Household,15,3.0,0.0
Pura Vida Bracelets,Jewelry,15,6.0,0.0
Colorfulkoala,Women,15,10.0,0.0
PowerStep,Shoes,15,6.4,0.0
360 Cookware,Kitchen & Dining,15,10.0,0.0
HP ,Computers & Accessories,15,7.5,5.0
Codecademy,Online Courses,15,12.0,0.0
Blissworld,Health & Beauty,15,6.4,0.0
DiBanGu,Accessories,15,20.0,0.0
NordVPN,Software,14,45.0,0.0
Oyrosy,Clothing & Apparel,14,15.0,0.0
Burts Bees Baby,Babies & Kids,14,4.0,0.0
Lucky Brand,Clothing & Apparel,14,7.0,0.0
Nautica,Clothing & Apparel,14,3.2,0.0
Yankee Candle,Household,14,6.0,0.0
simpli-home,Household,14,5.0,0.0
StubHub,Event Tickets,14,9.0,0.0
Teleflora,Flowers,14,12.0,0.0
BIGGMANS,Big & Tall,14,15.0,0.0
Rover,B2B,14,16.0,20.0
Priority Tire,Motor Vehicle Parts,14,6.0,0.0
Aurzen,Smart Home Devices,14,10.0,0.0
Belk,Department Stores,14,6.0,0.0
Hi-Tie,Accessories,14,20.0,0.0
Snap Supplements,Health & Beauty,14,5.0,0.0
WeCreat,3D Printers,14,5.0,0.0
Nebula,Projectors,14,7.0,0.0
HOKA,Shoes,14,8.0,0.0
Kemimoto,Vehicles & Parts,14,7.0,0.0
Equilibria,Health & Beauty,14,20.0,0.0
Hohem,Electronics Accessories,14,9.0,0.0
Lepro,Household,14,12.0,0.0
The Prisoner Wine Company,Wine,14,8.0,0.0
Martin's,Online Grocery,14,0.0,10.0
Ancestry,Consumer Services,14,20.0,0.0
