Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
KissLove Hair,Beauty & Cosmetics,US,13,10.00%,
FOSSiBOT,Consumer Electronics,US,13,10.00%,0.2
Milk Bar,Desserts,US,13,6.50%,
BoxLunch,Gifts,US,13,1.00%,0
Ann Taylor,Clothing & Apparel,US,13,1.00%,
Kids Foot Locker,Shoes,US,13,4.00%,0
New Balance,Clothing & Apparel,US,13,7.70%,
Disney Store,Clothing & Apparel,US,13,10.00%,0
PUMA,Athletics,US,13,6.00%,0
Sur La Table,Kitchen & Dining,US,13,4.00%,
OSEA Malibu,Health & Beauty,US,13,16.00%,
US Chess Sales,Board Games,US,13,3.00%,
Chesapeake Bay,Food & Gourmet,US,13,4.00%,
Ecco Bella,Health & Beauty,US,12,20.00%,
Allbirds,Shoes,US,12,4.00%,
Logitech G,Consumer Electronics,US,12,4.00%,
Cub Cadet,Yard & Garden,US,12,4.00%,
RELX,e-Cigarettes & Vaporizers,US,12,10.00%,
Charles Tyrwhitt,Clothing & Apparel,US,12,12.00%,0
Spafinder.com,Beauty & Spas,US,12,6.00%,
MAC Cosmetics,Beauty & Cosmetics,US,12,15.00%,
GoGameGeek,Video Games,US,12,5.00%,
Giant Food,Food & Gourmet,US,12,,10
Hiboost,Consumer Electronics,US,12,10.00%,
xTool,Household,US,12,10.00%,
Tire Agent,Motor Vehicle Parts,US,12,4.00%,
Vesync,Appliances,US,12,10.00%,
Harfington,Tools,US,12,7.00%,
CrealityFalcon,3D Printers,US,12,12.00%,
Ursime,Clothing & Apparel,US,12,2.00%,
Retro Life Player,Music,US,12,15.00%,
Spelab,Motor Vehicle Parts,US,12,10.00%,
Barrywang,Clothing & Apparel,US,12,25.00%,
Neakasa,Animals & Pet Supplies,US,12,10.00%,
Reibii,Household,US,12,8.00%,
Ciciful,Clothing & Apparel,US,12,6.00%,
Xtrema Cookware,Kitchen & Dining,US,12,5.00%,
Mytrip.com,Travel,US,12,3.00%,5
FashionGo,Clothing & Apparel,US,12,,40
HopeGoo,Vacation Packages,US,12,4.00%,0
Aeropostale,Juniors,US,12,4.00%,0.024
Angara,Jewelry,US,12,9.00%,
